jamb_score,study_hours_per_week,attendance_rate,teacher_quality,distance_to_school,school_type,school_location,extra_tutorials,access_to_learning_materials,parent_involvement,it_knowledge,age,gender,socioeconomic_status,parent_education_level,assignments_completed
192,22,78,4,12.4,Public,Urban,Yes,Yes,High,Medium,17,Male,Low,Tertiary,2
207,14,88,4,2.7,Public,Rural,No,Yes,High,High,15,Male,High,Unknown,1
182,29,87,2,9.6,Public,Rural,Yes,Yes,High,Medium,20,Female,High,Tertiary,2
210,29,99,2,2.6,Public,Urban,No,Yes,Medium,High,22,Female,Medium,Tertiary,1
199,12,98,3,8.8,Public,Urban,No,Yes,Medium,Medium,22,Female,Medium,Tertiary,1
202,25,85,2,13.6,Public,Urban,Yes,No,Medium,Low,15,Male,Low,Tertiary,1
251,35,85,4,2.6,Public,Urban,No,Yes,Low,Medium,16,Female,Medium,Primary,4
129,27,75,3,9.4,Public,Urban,No,Yes,Low,Medium,19,Female,Low,Tertiary,3
220,23,85,3,4.6,Public,Rural,No,No,Low,Medium,19,Female,Medium,Tertiary,1
157,15,79,3,15.6,Public,Rural,No,Yes,Low,Low,20,Female,Medium,Unknown,1
188,32,90,2,4.5,Private,Rural,No,No,Low,Medium,22,Male,Medium,Secondary,3
158,7,87,3,4.7,Public,Rural,Yes,Yes,High,Medium,20,Male,Medium,Secondary,1
191,25,91,2,8.3,Public,Urban,No,Yes,High,Low,19,Female,Medium,Secondary,2
114,2,92,1,14.8,Public,Rural,Yes,No,Low,High,19,Male,Low,Secondary,1
146,27,100,3,10.5,Public,Rural,Yes,No,Low,Medium,18,Male,Low,Secondary,2
154,16,84,4,7.1,Public,Rural,No,Yes,Low,Medium,15,Male,Medium,Primary,1
102,25,90,3,9.6,Private,Rural,Yes,Yes,Low,Low,15,Male,High,Secondary,2
106,18,77,2,7.6,Public,Urban,No,Yes,Medium,Medium,22,Female,Low,Primary,1
238,14,100,3,4.1,Public,Rural,No,Yes,High,High,20,Female,High,Secondary,1
274,40,100,3,12.2,Private,Rural,No,No,Low,Low,21,Female,Medium,Secondary,4
108,28,90,1,16.6,Public,Urban,No,Yes,Low,Low,20,Female,Low,Unknown,2
251,34,90,2,9.3,Public,Urban,Yes,No,High,Medium,21,Male,Low,Primary,5
159,11,77,2,11.8,Public,Urban,No,Yes,Low,Low,20,Male,Medium,Primary,1
207,20,73,3,5.6,Public,Urban,Yes,No,Medium,Medium,22,Male,Low,Unknown,1
263,28,89,3,14.5,Private,Urban,Yes,Yes,Medium,Medium,18,Male,Medium,Tertiary,3
149,11,97,3,5.0,Public,Rural,No,Yes,Low,Medium,22,Female,Low,Unknown,1
101,29,77,2,3.9,Private,Rural,Yes,No,Medium,Medium,21,Female,Medium,Tertiary,3
153,19,90,3,10.2,Public,Urban,Yes,Yes,Medium,Low,16,Female,Low,Primary,2
153,0,91,2,9.9,Private,Rural,Yes,Yes,Medium,High,22,Female,Low,Primary,1
267,30,87,5,12.9,Public,Rural,Yes,No,Medium,Low,17,Male,High,Tertiary,2
133,13,94,2,13.2,Private,Rural,No,Yes,Medium,Medium,22,Female,Low,Primary,1
199,21,58,5,11.8,Public,Rural,No,Yes,Low,Low,19,Female,High,Tertiary,3
147,14,71,3,2.9,Public,Urban,Yes,Yes,Low,High,19,Female,Medium,Tertiary,2
177,27,76,2,10.3,Public,Rural,No,No,High,High,18,Male,Medium,Primary,1
239,35,81,2,16.0,Public,Rural,Yes,No,High,Medium,21,Female,Medium,Tertiary,2
181,23,88,1,8.6,Public,Urban,Yes,Yes,High,Low,19,Female,Low,Secondary,3
123,12,84,1,6.3,Public,Urban,No,No,Medium,Medium,22,Female,Low,Secondary,2
159,18,87,2,10.3,Public,Urban,No,No,Low,Low,18,Female,Low,Unknown,1
140,17,88,3,2.8,Public,Rural,Yes,No,High,Medium,17,Female,Medium,Primary,1
144,10,73,2,6.3,Public,Urban,No,No,Medium,High,21,Female,High,Tertiary,1
206,27,75,3,15.0,Private,Urban,No,No,Low,Medium,15,Female,High,Tertiary,3
100,18,83,3,13.6,Public,Rural,No,Yes,Low,High,22,Male,Medium,Primary,1
223,38,81,3,8.3,Public,Rural,No,Yes,Low,Low,19,Female,Low,Secondary,2
266,39,75,5,17.5,Public,Urban,No,Yes,Low,High,16,Male,Low,Unknown,3
